feature,coef,abs_coef
E21,12.519149878015162,12.519149878015162
E23,-5.035225315831842,5.035225315831842
Latency,-4.0988984858699835,4.0988984858699835
E16,-3.938737923878989,3.938737923878989
E5,3.104521800121588,3.104521800121588
E9,-2.8793244446175112,2.8793244446175112
E11,-2.873114436541906,2.873114436541906
E26,-2.3264888319468193,2.3264888319468193
E25,2.176052806759458,2.176052806759458
E18,2.176052806759458,2.176052806759458
ti_mean,1.864231611262772,1.864231611262772
ti_std,1.7523012520017884,1.7523012520017884
E22,1.4406209766771625,1.4406209766771625
E20,1.429729453380341,1.429729453380341
E27,1.3703709945542877,1.3703709945542877
E13,1.2842132059332578,1.2842132059332578
sequence_len,1.2582111944083278,1.2582111944083278
E6,-1.1395342147108585,1.1395342147108585
E28,1.0729583430894585,1.0729583430894585
ti_max,-0.6631688199339768,0.6631688199339768
E3,-0.649286863358291,0.649286863358291
ti_zeros,-0.5146870901580346,0.5146870901580346
E29,0.43997433520607776,0.43997433520607776
E4,-0.19337514687500532,0.19337514687500532
E14,0.117891824342037,0.117891824342037
E10,0.1153573100789548,0.1153573100789548
E8,0.1120553718240615,0.1120553718240615
E15,0.07825210474977834,0.07825210474977834
E12,0.07038810794448823,0.07038810794448823
E24,0.044013652870930356,0.044013652870930356
E2,-0.025421241629266664,0.025421241629266664
E19,0.019476431789623615,0.019476431789623615
E17,0.01921299053468416,0.01921299053468416
E7,0.018912851747944073,0.018912851747944073
E1,0.012947816311503687,0.012947816311503687
